epoch;acc;loss;val_acc;val_loss
0;0.495375;1.429310641860962;0.4589;1.752368949508667
1;0.646275;0.9990353244781495;0.3578;3.021233963394165
2;0.701175;0.8428131811141968;0.5707;1.3523856342315674
3;0.741975;0.7322492901802063;0.7253;0.7956299465179444
4;0.770725;0.6492272855758667;0.5037;2.1445362560272216
5;0.7933;0.5836228996276855;0.7172;0.9103515386581421
6;0.815125;0.5252720831394195;0.6785;1.105658140563965
7;0.834125;0.47105800428390504;0.7369;0.8420556907653809
8;0.850975;0.420897457075119;0.6459;1.3800877473831177
9;0.865375;0.3799811409473419;0.7075;1.040878712463379
10;0.880525;0.3380052690982819;0.745;0.8683588146209716
11;0.8962;0.2968663437843323;0.7409;0.9182291023254394
12;0.901775;0.27584888701438903;0.7481;0.9572083448410034
13;0.913575;0.24716443989276887;0.7749;0.8182128965377807
14;0.922275;0.22114050300121307;0.7006;1.2978614263534547
15;0.92955;0.2025029223203659;0.7724;0.8397015476226807
16;0.9345;0.1851986472606659;0.6771;1.4278971569061278
17;0.9374;0.17892860124111176;0.7785;0.8668836360931397
18;0.942325;0.1630404390335083;0.6851;1.2636517890930177
19;0.945375;0.15958753962516783;0.7791;0.9390197156906128
